"2022,2012,1997,5018,2413",eva_asr,poi_asr,cost,embed_acc,clean_acc,average_atk_time,cluster_cost_time
sga_SGCPD,0.29799999999999993,0.01,157.46870775620144,0.0,0.0,0.0008502430915832519,0.0
MLP_SGCPD,0.528,0.016,156.89344907204313,0.9965450167655945,0.0,0.02530170249938965,3.0578827381134035
SGC2_SGCPD,0.5700000000000001,0.026000000000000002,149.10514721473058,0.9965500235557556,0.0,0.003771918296813965,6.868740224838257
GCN2_SGCPD,0.41,0.02,147.56706950585047,0.9965500235557556,0.0,0.02142432737350464,2.5640143394470214
FastGCN_SGCPD,0.4720000000000001,0.022000000000000002,147.3213359371821,0.9965500235557556,0.0,0.01571836280822754,1.6049395561218263
MLP&SGC2_SGCPD,0.564,0.024,77.4720506366094,0.996547520160675,0.0,0.004018575191497802,1.6773365020751954
MLP&GCN2_SGCPD,0.41,0.02,77.59178625822068,0.996547520160675,0.0,0.00495020580291748,1.0591317653656005
