"2022,2012,1997,5018,2413",eva_asr,poi_asr,cost,embed_acc,clean_acc,average_atk_time,cluster_cost_time
sga_SGCPD,0.08399999999999999,0.006,121.73540228764213,0.0,0.0,0.0072749524116516116,0.0
MLP_SGCPD,0.16999999999999998,0.008,134.94773580312727,0.9965450167655945,0.0,0.028929264068603515,91.05484008789062
SGC2_SGCPD,0.16599999999999998,0.004,154.25262096802393,0.9965500235557556,0.0,0.06196710634231567,156.60713744163513
GCN2_SGCPD,0.13,0.01,144.54404950698216,0.9965500235557556,0.0,0.07004181241989135,157.6798753261566
FastGCN_SGCPD,0.132,0.008,144.28782098690667,0.9965500235557556,0.0,0.06756617069244385,133.16875715255736
