,eva_asr,poi_asr,clean_acc
sga_BMGCN,0.15199999999999997,0.176,0.8276923076923077
MLP_BMGCN,0.188,0.21799999999999997,0.8276923076923077
SGC2_BMGCN,0.21399999999999997,0.25,0.8276923076923077
GCN2_BMGCN,0.086,0.146,0.8276923076923077
FastGCN_BMGCN,0.066,0.142,0.834871794871795
