,eva_asr,poi_asr,clean_acc
sga_GCN,0.43200000000000005,0.46799999999999997,0.2729605257511139
sga_SimPGCN,0.422,0.442,0.28740131578947364
sga_H2GCN1,0.09,0.11199999999999999,0.31532894736842104
sga_H2GCN2,0.032,0.07,0.3051315789473684
sga_FAGCN,0.22999999999999998,0.308,0.32286184210526314
MLP_GCN,0.396,0.40800000000000003,0.2729605257511139
MLP_SimPGCN,0.526,0.514,0.28740131578947364
MLP_H2GCN1,0.08000000000000002,0.092,0.31532894736842104
MLP_H2GCN2,0.026000000000000002,0.05600000000000001,0.3051315789473684
MLP_FAGCN,0.242,0.27399999999999997,0.32286184210526314
SGC2_GCN,0.288,0.3,0.2729605257511139
SGC2_SimPGCN,0.284,0.292,0.28740131578947364
SGC2_H2GCN1,0.07799999999999999,0.08,0.31532894736842104
SGC2_H2GCN2,0.018,0.041999999999999996,0.3051315789473684
SGC2_FAGCN,0.11600000000000002,0.16799999999999998,0.32286184210526314
GCN2_GCN,0.352,0.384,0.2729605257511139
GCN2_SimPGCN,0.38599999999999995,0.38,0.28740131578947364
GCN2_H2GCN1,0.08,0.092,0.31532894736842104
GCN2_H2GCN2,0.028000000000000004,0.044000000000000004,0.3051315789473684
GCN2_FAGCN,0.146,0.178,0.32286184210526314
FastGCN_GCN,0.33799999999999997,0.354,0.2729605257511139
FastGCN_SimPGCN,0.362,0.37,0.28740131578947364
FastGCN_H2GCN1,0.092,0.10200000000000001,0.31532894736842104
FastGCN_H2GCN2,0.028000000000000004,0.036,0.3051315789473684
FastGCN_FAGCN,0.158,0.176,0.32286184210526314
MLP&SGC2_GCN,0.40800000000000003,0.426,0.2729605257511139
MLP&SGC2_SimPGCN,0.516,0.5,0.28740131578947364
MLP&SGC2_H2GCN1,0.084,0.098,0.31532894736842104
MLP&SGC2_H2GCN2,0.022,0.05,0.3051315789473684
MLP&SGC2_FAGCN,0.256,0.278,0.32286184210526314
MLP&GCN2_GCN,0.396,0.41,0.2729605257511139
MLP&GCN2_SimPGCN,0.53,0.518,0.28740131578947364
MLP&GCN2_H2GCN1,0.07800000000000001,0.09,0.31532894736842104
MLP&GCN2_H2GCN2,0.03,0.06,0.3051315789473684
MLP&GCN2_FAGCN,0.244,0.266,0.32286184210526314
MLP&SGC2_GCN,0.40800000000000003,0.426,0.2729605257511139
MLP&SGC2_SimPGCN,0.516,0.5,0.28740131578947364
MLP&SGC2_H2GCN1,0.084,0.098,0.31532894736842104
MLP&SGC2_H2GCN2,0.022,0.05,0.3051315789473684
MLP&SGC2_FAGCN,0.256,0.278,0.32286184210526314
MLP&GCN2_GCN,0.396,0.41,0.2729605257511139
MLP&GCN2_SimPGCN,0.53,0.518,0.28740131578947364
MLP&GCN2_H2GCN1,0.07800000000000001,0.09,0.31532894736842104
MLP&GCN2_H2GCN2,0.03,0.06,0.3051315789473684
MLP&GCN2_FAGCN,0.244,0.266,0.32286184210526314
