,eva_asr,poi_asr,clean_acc
sga_GCN,0.268,0.3,0.3737082540988922
sga_SimPGCN,0.027999999999999997,0.296,0.27128094208123044
sga_H2GCN1,0.004,0.01,0.24647921172795
sga_H2GCN2,0.002,0.012,0.2582071617399664
sga_FAGCN,0.05,0.178,0.3096851718336938
MLP_GCN,0.338,0.268,0.3737082540988922
MLP_SimPGCN,0.072,0.33,0.27128094208123044
MLP_H2GCN1,0.006,0.014000000000000002,0.24647921172795
MLP_H2GCN2,0.01,0.028000000000000004,0.2582071617399664
MLP_FAGCN,0.06200000000000001,0.10600000000000001,0.3096851718336938
SGC2_GCN,0.316,0.28600000000000003,0.3737082540988922
SGC2_SimPGCN,0.066,0.324,0.27128094208123044
SGC2_H2GCN1,0.008,0.012,0.24647921172795
SGC2_H2GCN2,0.004,0.01,0.2582071617399664
SGC2_FAGCN,0.042,0.10800000000000001,0.3096851718336938
GCN2_GCN,0.33199999999999996,0.31,0.3737082540988922
GCN2_SimPGCN,0.068,0.288,0.27128094208123044
GCN2_H2GCN1,0.008,0.012,0.24647921172795
GCN2_H2GCN2,0.008,0.014000000000000002,0.2582071617399664
GCN2_FAGCN,0.05800000000000001,0.11400000000000002,0.3096851718336938
FastGCN_GCN,0.264,0.236,0.3737082540988922
FastGCN_SimPGCN,0.04,0.302,0.27128094208123044
FastGCN_H2GCN1,0.012,0.014000000000000002,0.24647921172795
FastGCN_H2GCN2,0.01,0.016,0.2582071617399664
FastGCN_FAGCN,0.042,0.10600000000000001,0.3096851718336938
