"2022,2012,1997,5018,2413",eva_asr,poi_asr,cost,embed_acc,clean_acc,average_atk_time,cluster_cost_time
sga_SGCPD,0.25,0.006,70.84042555729549,0.0,0.0,0.000351534366607666,0.0
MLP_SGCPD,0.708,0.024,75.71535285790762,0.9966499924659729,0.0,0.005923840999603271,1.0209017753601075
SGC2_SGCPD,0.624,0.022,73.91423736651738,0.9966562390327454,0.0,0.004972565650939941,3.3790246486663817
GCN2_SGCPD,0.45600000000000007,0.012,72.08079157114028,0.9966562390327454,0.0,0.00913147783279419,0.939612865447998
FastGCN_SGCPD,0.34800000000000003,0.006,71.39353243907291,0.9966562390327454,0.0,0.007235761642456054,1.1580099582672119
MLP&SGC2_SGCPD,0.7000000000000001,0.022,52.4627800321579,0.9966531157493591,0.0,0.002569549560546875,1.3825793266296387
MLP&GCN2_SGCPD,0.458,0.012,52.414680563608805,0.9966531157493591,0.0,0.007619895458221436,0.9066147327423095
