,eva_asr,poi_asr,clean_acc
sga_GCN,0.11399999999999999,0.136,0.5517014145851136
sga_SimPGCN,0.036,0.10400000000000001,0.39901207464324917
sga_H2GCN1,0.01,0.012,0.38924259055982435
sga_H2GCN2,0.008,0.018,0.40076838638858403
sga_FAGCN,0.05,0.126,0.5006586169045005
MLP_GCN,0.16,0.18,0.5517014145851136
MLP_SimPGCN,0.044000000000000004,0.14400000000000002,0.39901207464324917
MLP_H2GCN1,0.008,0.02,0.38924259055982435
MLP_H2GCN2,0.012,0.044,0.40076838638858403
MLP_FAGCN,0.042,0.18,0.5006586169045005
SGC2_GCN,0.21400000000000002,0.16,0.5517014145851136
SGC2_SimPGCN,0.048,0.1,0.39901207464324917
SGC2_H2GCN1,0.006,0.01,0.38924259055982435
SGC2_H2GCN2,0.008,0.015999999999999997,0.40076838638858403
SGC2_FAGCN,0.05800000000000001,0.11200000000000002,0.5006586169045005
GCN2_GCN,0.19,0.154,0.5517014145851136
GCN2_SimPGCN,0.04,0.10200000000000001,0.39901207464324917
GCN2_H2GCN1,0.006,0.01,0.38924259055982435
GCN2_H2GCN2,0.008,0.012,0.40076838638858403
GCN2_FAGCN,0.044,0.128,0.5006586169045005
FastGCN_GCN,0.186,0.14600000000000002,0.5517014145851136
FastGCN_SimPGCN,0.048,0.10800000000000001,0.39901207464324917
FastGCN_H2GCN1,0.012,0.01,0.38924259055982435
FastGCN_H2GCN2,0.01,0.012,0.40076838638858403
FastGCN_FAGCN,0.044000000000000004,0.13599999999999998,0.5006586169045005
